,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Linus Hasselberg,0.553,0.348,5,-12.847,1,0.063,0.684,0.0417,0.126,0.139,131.816,audio_features,5hTbZZaLWZwQbx4LWGyV4q,spotify:track:5hTbZZaLWZwQbx4LWGyV4q,https://api.spotify.com/v1/tracks/5hTbZZaLWZwQbx4LWGyV4q,https://api.spotify.com/v1/audio-analysis/5hTbZZaLWZwQbx4LWGyV4q,209720,4
1,Matisyahu,0.691,0.791,0,-3.747,1,0.0613,0.00654,0.0,0.0729,0.793,100.044,audio_features,56ZDcszhe1eCeghso93fXP,spotify:track:56ZDcszhe1eCeghso93fXP,https://api.spotify.com/v1/tracks/56ZDcszhe1eCeghso93fXP,https://api.spotify.com/v1/audio-analysis/56ZDcszhe1eCeghso93fXP,213080,4
2,Lord Huron,0.544,0.369,2,-9.514,1,0.038,0.969,0.279,0.639,0.102,87.01,audio_features,3hRV0jL3vUpRrcy398teAU,spotify:track:3hRV0jL3vUpRrcy398teAU,https://api.spotify.com/v1/tracks/3hRV0jL3vUpRrcy398teAU,https://api.spotify.com/v1/audio-analysis/3hRV0jL3vUpRrcy398teAU,208212,3
3,Charlie Cunningham,0.492,0.841,0,-9.181,0,0.0904,0.729,0.00027,0.101,0.313,177.869,audio_features,6kND7UAXGZk2kfZbEWQ6e3,spotify:track:6kND7UAXGZk2kfZbEWQ6e3,https://api.spotify.com/v1/tracks/6kND7UAXGZk2kfZbEWQ6e3,https://api.spotify.com/v1/audio-analysis/6kND7UAXGZk2kfZbEWQ6e3,194907,4
4,Birdy,0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467,audio_features,4RL77hMWUq35NYnPLXBpih,spotify:track:4RL77hMWUq35NYnPLXBpih,https://api.spotify.com/v1/tracks/4RL77hMWUq35NYnPLXBpih,https://api.spotify.com/v1/audio-analysis/4RL77hMWUq35NYnPLXBpih,201080,4
5,Peter LeMarc,0.503,0.737,4,-4.034,1,0.0438,0.118,2.35e-05,0.164,0.508,78.027,audio_features,7M57AuAeA5M4lnWqpUGRIR,spotify:track:7M57AuAeA5M4lnWqpUGRIR,https://api.spotify.com/v1/tracks/7M57AuAeA5M4lnWqpUGRIR,https://api.spotify.com/v1/audio-analysis/7M57AuAeA5M4lnWqpUGRIR,330240,4
6,Robyn,0.687,0.865,6,-4.663,1,0.0349,0.0743,0.226,0.0966,0.261,117.015,audio_features,2UT3iEU7uQAXNUxCKfiZAj,spotify:track:2UT3iEU7uQAXNUxCKfiZAj,https://api.spotify.com/v1/tracks/2UT3iEU7uQAXNUxCKfiZAj,https://api.spotify.com/v1/audio-analysis/2UT3iEU7uQAXNUxCKfiZAj,288670,4
7,Damien Rice,0.346,0.139,0,-15.326,1,0.0321,0.913,7.73e-05,0.0934,0.116,136.168,audio_features,5GZEeowhvSieFDiR8fQ2im,spotify:track:5GZEeowhvSieFDiR8fQ2im,https://api.spotify.com/v1/tracks/5GZEeowhvSieFDiR8fQ2im,https://api.spotify.com/v1/audio-analysis/5GZEeowhvSieFDiR8fQ2im,217947,4
8,Lars Winnerbäck,0.489,0.475,9,-11.012,1,0.0266,0.27,0.00719,0.122,0.46,107.878,audio_features,17q9gSD214wClyCjqrhmgH,spotify:track:17q9gSD214wClyCjqrhmgH,https://api.spotify.com/v1/tracks/17q9gSD214wClyCjqrhmgH,https://api.spotify.com/v1/audio-analysis/17q9gSD214wClyCjqrhmgH,247427,4
9,Panic! At The Disco,0.506,0.817,11,-5.051,0,0.0335,0.00272,0.0,0.0486,0.506,109.952,audio_features,2DgdHcjWmO3qd50RzuBLgZ,spotify:track:2DgdHcjWmO3qd50RzuBLgZ,https://api.spotify.com/v1/tracks/2DgdHcjWmO3qd50RzuBLgZ,https://api.spotify.com/v1/audio-analysis/2DgdHcjWmO3qd50RzuBLgZ,208707,4
10,Säkert!,0.729,0.719,11,-6.662,0,0.147,0.613,0.0,0.138,0.646,90.955,audio_features,2vaPurShy6N3qOQ59bIioK,spotify:track:2vaPurShy6N3qOQ59bIioK,https://api.spotify.com/v1/tracks/2vaPurShy6N3qOQ59bIioK,https://api.spotify.com/v1/audio-analysis/2vaPurShy6N3qOQ59bIioK,253360,4
11,Hampus Nessvold,0.575,0.146,10,-12.782,1,0.0285,0.893,5.31e-05,0.0738,0.22,99.702,audio_features,3x00qcysuvu6rsh0fYqZpO,spotify:track:3x00qcysuvu6rsh0fYqZpO,https://api.spotify.com/v1/tracks/3x00qcysuvu6rsh0fYqZpO,https://api.spotify.com/v1/audio-analysis/3x00qcysuvu6rsh0fYqZpO,211974,4
12,James Gillespie,0.528,0.453,4,-9.398,1,0.0396,0.355,1.06e-06,0.104,0.281,119.761,audio_features,4olrSI30e4RN11Cz2SQgEv,spotify:track:4olrSI30e4RN11Cz2SQgEv,https://api.spotify.com/v1/tracks/4olrSI30e4RN11Cz2SQgEv,https://api.spotify.com/v1/audio-analysis/4olrSI30e4RN11Cz2SQgEv,196678,4
13,Kygo,0.75,0.797,0,-4.826,1,0.118,0.293,0.0,0.392,0.523,105.949,audio_features,4RAR8g8fZNB106ezUurnE0,spotify:track:4RAR8g8fZNB106ezUurnE0,https://api.spotify.com/v1/tracks/4RAR8g8fZNB106ezUurnE0,https://api.spotify.com/v1/audio-analysis/4RAR8g8fZNB106ezUurnE0,215203,4
14,Jack Vallier,0.677,0.353,9,-9.714,0,0.0872,0.854,0.0,0.247,0.409,81.049,audio_features,1M0hQOfJf9V9GBWL7Cm21t,spotify:track:1M0hQOfJf9V9GBWL7Cm21t,https://api.spotify.com/v1/tracks/1M0hQOfJf9V9GBWL7Cm21t,https://api.spotify.com/v1/audio-analysis/1M0hQOfJf9V9GBWL7Cm21t,181533,4
15,Hozier,0.539,0.715,11,-6.639,0,0.0595,0.0265,0.0,0.609,0.489,123.854,audio_features,46nvQpUDsxpS08UTFOeKTA,spotify:track:46nvQpUDsxpS08UTFOeKTA,https://api.spotify.com/v1/tracks/46nvQpUDsxpS08UTFOeKTA,https://api.spotify.com/v1/audio-analysis/46nvQpUDsxpS08UTFOeKTA,165524,4
16,Florence + The Machine,0.501,0.809,7,-5.264,1,0.0938,0.0338,0.00602,0.119,0.258,149.964,audio_features,456WNXWhDwYOSf5SpTuqxd,spotify:track:456WNXWhDwYOSf5SpTuqxd,https://api.spotify.com/v1/tracks/456WNXWhDwYOSf5SpTuqxd,https://api.spotify.com/v1/audio-analysis/456WNXWhDwYOSf5SpTuqxd,252819,4
17,Calvin Harris,0.824,0.697,11,-4.869,0,0.0473,0.158,4.11e-05,0.077,0.757,99.988,audio_features,7fYRg3CEbk6rNCuzNzMT06,spotify:track:7fYRg3CEbk6rNCuzNzMT06,https://api.spotify.com/v1/tracks/7fYRg3CEbk6rNCuzNzMT06,https://api.spotify.com/v1/audio-analysis/7fYRg3CEbk6rNCuzNzMT06,214460,4
18,The Ronettes,0.511,0.769,4,-7.032,1,0.042,0.181,0.0,0.0921,0.818,129.657,audio_features,2G2YzndIA6jeWFPBXhUjh5,spotify:track:2G2YzndIA6jeWFPBXhUjh5,https://api.spotify.com/v1/tracks/2G2YzndIA6jeWFPBXhUjh5,https://api.spotify.com/v1/audio-analysis/2G2YzndIA6jeWFPBXhUjh5,160907,4
19,Miss Li,0.854,0.679,1,-4.135,0,0.0339,0.00455,0.0,0.0864,0.946,125.975,audio_features,3Tp6XRivI85TAfpgja9ILh,spotify:track:3Tp6XRivI85TAfpgja9ILh,https://api.spotify.com/v1/tracks/3Tp6XRivI85TAfpgja9ILh,https://api.spotify.com/v1/audio-analysis/3Tp6XRivI85TAfpgja9ILh,161898,4
20,The Rasmus,0.495,0.867,11,-4.111,0,0.0444,0.00298,0.0,0.0763,0.487,116.009,audio_features,2NehRqeFiEGV72lFfqJGUn,spotify:track:2NehRqeFiEGV72lFfqJGUn,https://api.spotify.com/v1/tracks/2NehRqeFiEGV72lFfqJGUn,https://api.spotify.com/v1/audio-analysis/2NehRqeFiEGV72lFfqJGUn,190863,4
21,Bayside,0.688,0.903,1,-3.598,1,0.34,0.0281,2.12e-06,0.0855,0.711,123.292,audio_features,7hYW4hKuPkfaLbzTpg9hQB,spotify:track:7hYW4hKuPkfaLbzTpg9hQB,https://api.spotify.com/v1/tracks/7hYW4hKuPkfaLbzTpg9hQB,https://api.spotify.com/v1/audio-analysis/7hYW4hKuPkfaLbzTpg9hQB,197419,4
22,Dagny,0.693,0.705,7,-6.283,1,0.0352,0.407,0.0,0.108,0.904,100.367,audio_features,5hBI68juwgVWKLrf6xOP8O,spotify:track:5hBI68juwgVWKLrf6xOP8O,https://api.spotify.com/v1/tracks/5hBI68juwgVWKLrf6xOP8O,https://api.spotify.com/v1/audio-analysis/5hBI68juwgVWKLrf6xOP8O,158067,4
23,The Goo Goo Dolls,0.291,0.79,11,-5.683,0,0.0363,0.00133,5.61e-06,0.0811,0.513,155.667,audio_features,6vrUTGn5p8IrfTZ0J6sIVM,spotify:track:6vrUTGn5p8IrfTZ0J6sIVM,https://api.spotify.com/v1/tracks/6vrUTGn5p8IrfTZ0J6sIVM,https://api.spotify.com/v1/audio-analysis/6vrUTGn5p8IrfTZ0J6sIVM,289907,3
24,Imagine Dragons,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,audio_features,0pqnGHJpmpxLKifKRmU6WP,spotify:track:0pqnGHJpmpxLKifKRmU6WP,https://api.spotify.com/v1/tracks/0pqnGHJpmpxLKifKRmU6WP,https://api.spotify.com/v1/audio-analysis/0pqnGHJpmpxLKifKRmU6WP,204347,4
25,Veronica Maggio,0.625,0.676,0,-7.059,1,0.036,0.115,0.00277,0.248,0.629,120.019,audio_features,5MEuFY2DxrozPEgGpR8Fji,spotify:track:5MEuFY2DxrozPEgGpR8Fji,https://api.spotify.com/v1/tracks/5MEuFY2DxrozPEgGpR8Fji,https://api.spotify.com/v1/audio-analysis/5MEuFY2DxrozPEgGpR8Fji,212453,4
26,Thomas Stenström,0.572,0.743,10,-4.813,1,0.027,0.0713,0.0,0.134,0.772,96.979,audio_features,28TGtp6irVUZhTv5ytdex1,spotify:track:28TGtp6irVUZhTv5ytdex1,https://api.spotify.com/v1/tracks/28TGtp6irVUZhTv5ytdex1,https://api.spotify.com/v1/audio-analysis/28TGtp6irVUZhTv5ytdex1,190053,4
27,Peter Sarstedt,0.408,0.436,0,-7.712,1,0.0345,0.805,1.72e-06,0.305,0.474,175.024,audio_features,2AvMA7gOOhQpDDUjBs89ap,spotify:track:2AvMA7gOOhQpDDUjBs89ap,https://api.spotify.com/v1/tracks/2AvMA7gOOhQpDDUjBs89ap,https://api.spotify.com/v1/audio-analysis/2AvMA7gOOhQpDDUjBs89ap,284707,3
28,1900,0.311,0.169,6,-14.303,0,0.0309,0.946,0.819,0.14,0.243,100.245,audio_features,2JXgZxCMolqyK92rjgJOM8,spotify:track:2JXgZxCMolqyK92rjgJOM8,https://api.spotify.com/v1/tracks/2JXgZxCMolqyK92rjgJOM8,https://api.spotify.com/v1/audio-analysis/2JXgZxCMolqyK92rjgJOM8,300413,4
29,Lady Gaga,0.519,0.617,7,-4.287,1,0.0313,0.0387,0.0,0.401,0.222,147.708,audio_features,0oWraSo5ASJ0h1BEagTyEw,spotify:track:0oWraSo5ASJ0h1BEagTyEw,https://api.spotify.com/v1/tracks/0oWraSo5ASJ0h1BEagTyEw,https://api.spotify.com/v1/audio-analysis/0oWraSo5ASJ0h1BEagTyEw,225300,3
30,Bastille,0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435,audio_features,4Ub8UsjWuewQrPhuepfVpd,spotify:track:4Ub8UsjWuewQrPhuepfVpd,https://api.spotify.com/v1/tracks/4Ub8UsjWuewQrPhuepfVpd,https://api.spotify.com/v1/audio-analysis/4Ub8UsjWuewQrPhuepfVpd,214148,4
31,Bright Eyes,0.38,0.21,7,-15.603,1,0.0319,0.745,0.45,0.0829,0.207,112.51,audio_features,3Jy0dWV5AnnfyTvHK6UWof,spotify:track:3Jy0dWV5AnnfyTvHK6UWof,https://api.spotify.com/v1/tracks/3Jy0dWV5AnnfyTvHK6UWof,https://api.spotify.com/v1/audio-analysis/3Jy0dWV5AnnfyTvHK6UWof,238600,4
32,Anna Ternheim,0.357,0.108,7,-15.385,1,0.0363,0.992,0.000648,0.109,0.201,117.584,audio_features,6G0MfBXF1QlLpgP8pKngzs,spotify:track:6G0MfBXF1QlLpgP8pKngzs,https://api.spotify.com/v1/tracks/6G0MfBXF1QlLpgP8pKngzs,https://api.spotify.com/v1/audio-analysis/6G0MfBXF1QlLpgP8pKngzs,212293,4
33,Bo Kaspers Orkester,0.515,0.589,7,-8.972,1,0.039,0.39,0.0117,0.125,0.879,159.42,audio_features,160hD5JOJTqyQGcZPKNLBJ,spotify:track:160hD5JOJTqyQGcZPKNLBJ,https://api.spotify.com/v1/tracks/160hD5JOJTqyQGcZPKNLBJ,https://api.spotify.com/v1/audio-analysis/160hD5JOJTqyQGcZPKNLBJ,218747,4
34,Ison & Fille,0.441,0.809,5,-6.038,0,0.283,0.254,0.0,0.18,0.434,84.97,audio_features,3wkE1y8yv65YFY9HZV8u2j,spotify:track:3wkE1y8yv65YFY9HZV8u2j,https://api.spotify.com/v1/tracks/3wkE1y8yv65YFY9HZV8u2j,https://api.spotify.com/v1/audio-analysis/3wkE1y8yv65YFY9HZV8u2j,287293,4
35,Lukas Graham,0.765,0.472,10,-5.837,1,0.052,0.291,0.0,0.389,0.352,119.946,audio_features,7LMtp4HBhWLQ2P2POPn6li,spotify:track:7LMtp4HBhWLQ2P2POPn6li,https://api.spotify.com/v1/tracks/7LMtp4HBhWLQ2P2POPn6li,https://api.spotify.com/v1/audio-analysis/7LMtp4HBhWLQ2P2POPn6li,237267,4
36,Fitz and The Tantrums,0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,audio_features,2Z5wXgysowvzl0nKGNGU0t,spotify:track:2Z5wXgysowvzl0nKGNGU0t,https://api.spotify.com/v1/tracks/2Z5wXgysowvzl0nKGNGU0t,https://api.spotify.com/v1/audio-analysis/2Z5wXgysowvzl0nKGNGU0t,209386,4
